Number of measurement points: 14480
Sample Rate (Hz): 200
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0107699963264167	1.21441838983446
1	0.005	-0.0120596683118492	1.21441838983446
2	0.01	-0.0120596683118492	1.21441838983446
3	0.015	-0.0107699963264167	1.21441838983446
4	0.02	-0.0107699963264167	1.21312871784903
5	0.025	-0.0120596683118492	1.21441838983446
6	0.03	-0.0120596683118492	1.21441838983446
7	0.035	-0.0107699963264167	1.21441838983446
8	0.04	-0.0107699963264167	1.21312871784903
9	0.045	-0.0107699963264167	1.21441838983446
10	0.05	-0.0107699963264167	1.21441838983446
11	0.055	-0.0107699963264167	1.21312871784903
12	0.06	-0.0107699963264167	1.21312871784903
13	0.065	-0.0120596683118492	1.21441838983446
14	0.07	-0.0120596683118492	1.21441838983446
15	0.075	-0.0120596683118492	1.21441838983446
16	0.08	-0.0120596683118492	1.21441838983446
17	0.085	-0.0107699963264167	1.21441838983446
18	0.09	-0.0120596683118492	1.21441838983446
19	0.095	-0.0120596683118492	1.21441838983446
20	0.1	-0.0120596683118492	1.21312871784903
21	0.105	-0.0120596683118492	1.21312871784903
22	0.11	-0.0120596683118492	1.21441838983446
23	0.115	-0.0107699963264167	1.21441838983446
24	0.12	-0.0120596683118492	1.21312871784903
25	0.125	-0.0107699963264167	1.21312871784903
26	0.13	-0.0120596683118492	1.21441838983446
27	0.135	-0.0107699963264167	1.21441838983446
28	0.14	-0.0120596683118492	1.21441838983446
29	0.145	-0.0120596683118492	1.21441838983446
30	0.15	-0.0107699963264167	1.21441838983446
31	0.155	-0.0107699963264167	1.21441838983446
32	0.16	-0.0107699963264167	1.21441838983446
33	0.165	-0.0107699963264167	1.21441838983446
34	0.17	-0.0120596683118492	1.21441838983446
35	0.175	-0.0107699963264167	1.21441838983446
36	0.18	-0.0107699963264167	1.21441838983446
37	0.185	-0.0107699963264167	1.21312871784903
38	0.19	-0.0120596683118492	1.21312871784903
39	0.195	-0.0107699963264167	1.21312871784903
40	0.2	-0.0107699963264167	1.21441838983446
41	0.205	-0.0107699963264167	1.21312871784903
42	0.21	-0.0120596683118492	1.21312871784903
43	0.215	-0.0120596683118492	1.21441838983446
44	0.22	-0.0107699963264167	1.21441838983446
45	0.225	-0.0107699963264167	1.21312871784903
46	0.23	-0.0107699963264167	1.21312871784903
47	0.235	-0.0107699963264167	1.21441838983446
48	0.24	-0.0107699963264167	1.21441838983446
49	0.245	-0.0120596683118492	1.21441838983446
50	0.25	-0.0107699963264167	1.21441838983446
51	0.255	-0.0107699963264167	1.21441838983446
52	0.26	-0.0120596683118492	1.21312871784903
53	0.265	-0.0107699963264167	1.21441838983446
54	0.27	-0.0120596683118492	1.21441838983446
55	0.275	-0.0120596683118492	1.21312871784903
56	0.28	-0.0120596683118492	1.21312871784903
57	0.285	-0.0120596683118492	1.21441838983446
58	0.29	-0.0107699963264167	1.21312871784903
59	0.295	-0.0120596683118492	1.21312871784903
60	0.3	-0.0120596683118492	1.21312871784903
61	0.305	-0.0107699963264167	1.21312871784903
