Number of measurement points: 38770
Sample Rate (Hz): 200
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0030319644138217	1.45558705111034
1	0.005	-0.00561130838468671	1.45429737912491
2	0.01	-0.0043216363992542	1.45429737912491
3	0.015	-0.0043216363992542	1.45429737912491
4	0.02	-0.0043216363992542	1.45429737912491
5	0.025	-0.0043216363992542	1.45429737912491
6	0.03	-0.0043216363992542	1.45429737912491
7	0.035	-0.0043216363992542	1.45429737912491
8	0.04	-0.0043216363992542	1.45429737912491
9	0.045	-0.0043216363992542	1.45429737912491
10	0.05	-0.0043216363992542	1.45558705111034
11	0.055	-0.0043216363992542	1.45429737912491
12	0.06	-0.0043216363992542	1.45429737912491
13	0.065	-0.0043216363992542	1.45429737912491
14	0.07	-0.0043216363992542	1.45429737912491
15	0.075	-0.0043216363992542	1.45429737912491
16	0.08	-0.0043216363992542	1.45429737912491
17	0.085	-0.0043216363992542	1.45429737912491
18	0.09	-0.0043216363992542	1.45429737912491
19	0.095	-0.0043216363992542	1.45429737912491
20	0.1	-0.0043216363992542	1.45429737912491
21	0.105	-0.0043216363992542	1.45429737912491
22	0.11	-0.0043216363992542	1.45429737912491
23	0.115	-0.0043216363992542	1.45429737912491
24	0.12	-0.0043216363992542	1.45429737912491
25	0.125	-0.0043216363992542	1.45429737912491
26	0.13	-0.0043216363992542	1.45429737912491
27	0.135	-0.0043216363992542	1.45558705111034
28	0.14	-0.0043216363992542	1.45429737912491
29	0.145	-0.0043216363992542	1.45429737912491
30	0.15	-0.0043216363992542	1.45429737912491
31	0.155	-0.0043216363992542	1.45429737912491
32	0.16	-0.0043216363992542	1.45429737912491
33	0.165	-0.0043216363992542	1.45558705111034
34	0.17	-0.0043216363992542	1.45429737912491
35	0.175	-0.0043216363992542	1.45429737912491
36	0.18	-0.0043216363992542	1.45429737912491
37	0.185	-0.0043216363992542	1.45429737912491
38	0.19	-0.00561130838468671	1.45429737912491
39	0.195	-0.0030319644138217	1.45429737912491
40	0.2	-0.0043216363992542	1.45429737912491
41	0.205	-0.0043216363992542	1.45429737912491
42	0.21	-0.0043216363992542	1.45429737912491
43	0.215	-0.0030319644138217	1.45429737912491
44	0.22	-0.0043216363992542	1.45429737912491
45	0.225	-0.0043216363992542	1.45429737912491
46	0.23	-0.00561130838468671	1.45429737912491
47	0.235	-0.00561130838468671	1.45429737912491
48	0.24	-0.0043216363992542	1.45429737912491
49	0.245	-0.0043216363992542	1.45429737912491
50	0.25	-0.0043216363992542	1.45429737912491
51	0.255	-0.0043216363992542	1.45429737912491
52	0.26	-0.0043216363992542	1.45429737912491
53	0.265	-0.0043216363992542	1.45429737912491
54	0.27	-0.0043216363992542	1.45429737912491
55	0.275	-0.0043216363992542	1.45429737912491
56	0.28	-0.0043216363992542	1.45429737912491
57	0.285	-0.00561130838468671	1.45429737912491
58	0.29	-0.0043216363992542	1.45429737912491
59	0.295	-0.0043216363992542	1.45429737912491
60	0.3	-0.0043216363992542	1.45429737912491
61	0.305	-0.0043216363992542	1.45429737912491
62	0.31	-0.0043216363992542	1.45429737912491
63	0.315	-0.0043216363992542	1.45429737912491
64	0.32	-0.0043216363992542	1.45429737912491
65	0.325	-0.00561130838468671	1.45558705111034
66	0.33	-0.0043216363992542	1.45429737912491
67	0.335	-0.0043216363992542	1.45429737912491
68	0.34	-0.0043216363992542	1.45429737912491
