Number of measurement points: 21344
Sample Rate (Hz): 200
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0391427800059319	1.00291218422353
1	0.005	-0.0378531080204993	1.00291218422353
2	0.01	-0.0365634360350668	1.00291218422353
3	0.015	-0.0378531080204993	1.00291218422353
4	0.02	-0.0378531080204993	1.00291218422353
5	0.025	-0.0391427800059319	1.00291218422353
6	0.03	-0.0352737640496343	1.00420185620897
7	0.035	-0.0365634360350668	1.00291218422353
8	0.04	-0.0378531080204993	1.00291218422353
9	0.045	-0.0391427800059319	1.00291218422353
10	0.05	-0.0365634360350668	1.00420185620897
11	0.055	-0.0365634360350668	1.00420185620897
12	0.06	-0.0378531080204993	1.00291218422353
13	0.065	-0.0391427800059319	1.00291218422353
14	0.07	-0.0365634360350668	1.00291218422353
15	0.075	-0.0378531080204993	1.00420185620897
16	0.08	-0.0378531080204993	1.00420185620897
17	0.085	-0.0378531080204993	1.00420185620897
18	0.09	-0.0378531080204993	1.00291218422353
19	0.095	-0.0352737640496343	1.00291218422353
20	0.1	-0.0404324519913644	1.00291218422353
21	0.105	-0.0365634360350668	1.00291218422353
22	0.11	-0.0365634360350668	1.00420185620897
23	0.115	-0.0365634360350668	1.00291218422353
24	0.12	-0.0378531080204993	1.00420185620897
25	0.125	-0.0404324519913644	1.00291218422353
26	0.13	-0.0352737640496343	1.00291218422353
27	0.135	-0.0365634360350668	1.00420185620897
28	0.14	-0.0365634360350668	1.00291218422353
29	0.145	-0.0391427800059319	1.00291218422353
30	0.15	-0.0365634360350668	1.00291218422353
31	0.155	-0.0365634360350668	1.00291218422353
32	0.16	-0.0378531080204993	1.00420185620897
33	0.165	-0.0365634360350668	1.00291218422353
34	0.17	-0.0352737640496343	1.00291218422353
35	0.175	-0.0365634360350668	1.00291218422353
36	0.18	-0.0378531080204993	1.00420185620897
37	0.185	-0.0365634360350668	1.00291218422353
38	0.19	-0.0365634360350668	1.00291218422353
39	0.195	-0.0365634360350668	1.00291218422353
40	0.2	-0.0378531080204993	1.00291218422353
41	0.205	-0.0378531080204993	1.00420185620897
42	0.21	-0.0365634360350668	1.00420185620897
43	0.215	-0.0365634360350668	1.00291218422353
44	0.22	-0.0391427800059319	1.00291218422353
45	0.225	-0.0365634360350668	1.00291218422353
46	0.23	-0.0378531080204993	1.00420185620897
47	0.235	-0.0365634360350668	1.00291218422353
48	0.24	-0.0365634360350668	1.00420185620897
49	0.245	-0.0378531080204993	1.00291218422353
50	0.25	-0.0365634360350668	1.00291218422353
51	0.255	-0.0365634360350668	1.00291218422353
52	0.26	-0.0391427800059319	1.00420185620897
53	0.265	-0.0378531080204993	1.00291218422353
54	0.27	-0.0378531080204993	1.00420185620897
55	0.275	-0.0365634360350668	1.00291218422353
56	0.28	-0.0378531080204993	1.00291218422353
57	0.285	-0.0404324519913644	1.00291218422353
58	0.29	-0.0365634360350668	1.00291218422353
59	0.295	-0.0352737640496343	1.00291218422353
60	0.3	-0.0391427800059319	1.00291218422353
61	0.305	-0.0404324519913644	1.00420185620897
62	0.31	-0.0365634360350668	1.00420185620897
63	0.315	-0.0378531080204993	1.00291218422353
64	0.32	-0.0378531080204993	1.00291218422353
65	0.325	-0.0365634360350668	1.00291218422353
66	0.33	-0.0365634360350668	1.00291218422353
67	0.335	-0.0365634360350668	1.00291218422353
68	0.34	-0.0378531080204993	1.00291218422353
69	0.345	-0.0378531080204993	1.00291218422353
70	0.35	-0.0365634360350668	1.00291218422353
71	0.355	-0.0365634360350668	1.00420185620897
72	0.36	-0.0378531080204993	1.00420185620897
73	0.365	-0.0365634360350668	1.00291218422353
74	0.37	-0.0365634360350668	1.00291218422353
75	0.375	-0.0339840920642018	1.00291218422353
76	0.38	-0.0378531080204993	1.00291218422353
77	0.385	-0.0378531080204993	1.00291218422353
78	0.39	-0.0352737640496343	1.00420185620897
79	0.395	-0.0352737640496343	1.00291218422353
80	0.4	-0.0378531080204993	1.00291218422353
81	0.405	-0.0378531080204993	1.00420185620897
82	0.41	-0.0365634360350668	1.00420185620897
83	0.415	-0.0391427800059319	1.00420185620897
