Number of measurement points: 2825
Sample Rate (Hz): 20
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.102336707292125	-1.21403395873494
1	0.05	-0.0520394998602569	-1.21403395873494
2	0.1	-0.0507498278748244	-1.21403395873494
3	0.15	-0.0468808119185269	-1.21403395873494
4	0.2	-0.0481704839039594	-1.21403395873494
5	0.25	-0.0481704839039594	-1.21403395873494
6	0.3	-0.0494601558893919	-1.21403395873494
7	0.35	-0.0481704839039594	-1.21403395873494
8	0.4	-0.0494601558893919	-1.21403395873494
9	0.45	-0.0494601558893919	-1.21403395873494
10	0.5	-0.0468808119185269	-1.21403395873494
11	0.55	-0.0481704839039594	-1.21403395873494
12	0.6	-0.0494601558893919	-1.21403395873494
13	0.65	-0.0494601558893919	-1.21403395873494
14	0.7	-0.0494601558893919	-1.21403395873494
15	0.75	-0.0494601558893919	-1.21403395873494
16	0.8	-0.0494601558893919	-1.21403395873494
17	0.85	-0.0494601558893919	-1.21403395873494
18	0.9	-0.0559085158165544	-1.21403395873494
19	0.95	-0.0571981878019869	-1.21403395873494
20	1	-0.0571981878019869	-1.21403395873494
21	1.05	-0.0571981878019869	-1.21403395873494
22	1.1	-0.0533291718456894	-1.21403395873494
23	1.15	-0.0520394998602569	-1.21403395873494
24	1.2	-0.0494601558893919	-1.21532363072038
25	1.25	-0.0468808119185269	-1.21403395873494
26	1.3	-0.0443014679476619	-1.21403395873494
27	1.35	-0.0378531080204993	-1.21532363072038
28	1.4	-0.0378531080204993	-1.21532363072038
29	1.45	-0.0404324519913644	-1.21532363072038
30	1.5	-0.0507498278748244	-1.21532363072038
31	1.55	-0.0546188438311219	-1.21532363072038
32	1.6	-0.0520394998602569	-1.21532363072038
33	1.65	-0.0533291718456894	-1.21532363072038
34	1.7	-0.0494601558893919	-1.21532363072038
35	1.75	-0.0481704839039594	-1.21532363072038
36	1.8	-0.0481704839039594	-1.21532363072038
37	1.85	-0.0481704839039594	-1.21532363072038
38	1.9	-0.0494601558893919	-1.21661330270581
39	1.95	-0.0494601558893919	-1.21532363072038
40	2	-0.0455911399330944	-1.21532363072038
41	2.05	-0.0468808119185269	-1.21532363072038
42	2.1	-0.0481704839039594	-1.21532363072038
43	2.15	-0.0481704839039594	-1.21532363072038
44	2.2	-0.0455911399330944	-1.21532363072038
45	2.25	-0.0481704839039594	-1.21661330270581
46	2.3	-0.0443014679476619	-1.21532363072038
47	2.35	-0.072674251627177	-1.21532363072038
48	2.4	-0.070094907656312	-1.21661330270581
49	2.45	-0.072674251627177	-1.21532363072038
50	2.5	-0.070094907656312	-1.21532363072038
51	2.55	-0.0739639236126095	-1.21532363072038
52	2.6	-0.067515563685447	-1.21532363072038
53	2.65	-0.0713845796417445	-1.21532363072038
54	2.7	-0.067515563685447	-1.21532363072038
55	2.75	-0.070094907656312	-1.21532363072038
56	2.8	-0.0688052356708795	-1.21661330270581
57	2.85	-0.072674251627177	-1.21661330270581
58	2.9	-0.0713845796417445	-1.21661330270581
59	2.95	-0.0739639236126095	-1.21532363072038
60	3	-0.0713845796417445	-1.21532363072038
61	3.05	-0.0739639236126095	-1.21661330270581
