Number of measurement points: 15160
Sample Rate (Hz): 200
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.587253373814747	0.310358328046277
1	0.005	-0.628522877348587	0.310358328046277
2	0.01	-0.636260909261182	0.310358328046277
3	0.015	-0.633681565290317	0.310358328046277
4	0.02	-0.623364189406857	0.309068656060845
5	0.025	-0.634971237275749	0.310358328046277
6	0.03	-0.633681565290317	0.309068656060845
7	0.035	-0.631102221319452	0.309068656060845
8	0.04	-0.634971237275749	0.310358328046277
9	0.045	-0.633681565290317	0.310358328046277
10	0.05	-0.622074517421424	0.309068656060845
11	0.055	-0.625943533377722	0.310358328046277
12	0.06	-0.622074517421424	0.310358328046277
13	0.065	-0.629812549334019	0.309068656060845
14	0.07	-0.629812549334019	0.310358328046277
15	0.075	-0.627233205363154	0.310358328046277
16	0.08	-0.632391893304884	0.310358328046277
17	0.085	-0.640129925217479	0.310358328046277
18	0.09	-0.629812549334019	0.310358328046277
19	0.095	-0.636260909261182	0.310358328046277
20	0.1	-0.627233205363154	0.310358328046277
21	0.105	-0.641419597202912	0.310358328046277
22	0.11	-0.628522877348587	0.310358328046277
23	0.115	-0.625943533377722	0.309068656060845
24	0.12	-0.629812549334019	0.309068656060845
25	0.125	-0.631102221319452	0.309068656060845
26	0.13	-0.638840253232047	0.310358328046277
27	0.135	-0.632391893304884	0.310358328046277
28	0.14	-0.632391893304884	0.310358328046277
29	0.145	-0.628522877348587	0.310358328046277
30	0.15	-0.638840253232047	0.309068656060845
31	0.155	-0.640129925217479	0.310358328046277
32	0.16	-0.632391893304884	0.310358328046277
33	0.165	-0.627233205363154	0.310358328046277
34	0.17	-0.628522877348587	0.310358328046277
35	0.175	-0.627233205363154	0.309068656060845
36	0.18	-0.629812549334019	0.310358328046277
37	0.185	-0.624653861392289	0.310358328046277
38	0.19	-0.625943533377722	0.310358328046277
39	0.195	-0.629812549334019	0.309068656060845
40	0.2	-0.633681565290317	0.310358328046277
41	0.205	-0.632391893304884	0.310358328046277
42	0.21	-0.620784845435992	0.310358328046277
43	0.215	-0.629812549334019	0.310358328046277
44	0.22	-0.632391893304884	0.309068656060845
45	0.225	-0.632391893304884	0.310358328046277
46	0.23	-0.640129925217479	0.310358328046277
47	0.235	-0.620784845435992	0.309068656060845
48	0.24	-0.632391893304884	0.310358328046277
49	0.245	-0.631102221319452	0.310358328046277
50	0.25	-0.625943533377722	0.310358328046277
51	0.255	-0.616915829479694	0.310358328046277
52	0.26	-0.631102221319452	0.310358328046277
53	0.265	-0.625943533377722	0.310358328046277
54	0.27	-0.627233205363154	0.310358328046277
55	0.275	-0.629812549334019	0.310358328046277
56	0.28	-0.625943533377722	0.310358328046277
57	0.285	-0.637550581246614	0.310358328046277
58	0.29	-0.629812549334019	0.310358328046277
59	0.295	-0.632391893304884	0.310358328046277
60	0.3	-0.629812549334019	0.310358328046277
61	0.305	-0.627233205363154	0.310358328046277
62	0.31	-0.632391893304884	0.310358328046277
63	0.315	-0.632391893304884	0.310358328046277
64	0.32	-0.629812549334019	0.309068656060845
65	0.325	-0.632391893304884	0.310358328046277
66	0.33	-0.633681565290317	0.310358328046277
67	0.335	-0.632391893304884	0.310358328046277
68	0.34	-0.627233205363154	0.310358328046277
69	0.345	-0.632391893304884	0.310358328046277
70	0.35	-0.632391893304884	0.309068656060845
71	0.355	-0.627233205363154	0.310358328046277
72	0.36	-0.634971237275749	0.310358328046277
73	0.365	-0.636260909261182	0.309068656060845
74	0.37	-0.629812549334019	0.310358328046277
75	0.375	-0.634971237275749	0.309068656060845
76	0.38	-0.628522877348587	0.310358328046277
77	0.385	-0.625943533377722	0.310358328046277
78	0.39	-0.634971237275749	0.310358328046277
79	0.395	-0.636260909261182	0.310358328046277
80	0.4	-0.625943533377722	0.310358328046277
81	0.405	-0.628522877348587	0.310358328046277
82	0.41	-0.627233205363154	0.310358328046277
83	0.415	-0.631102221319452	0.310358328046277
84	0.42	-0.620784845435992	0.310358328046277
85	0.425	-0.628522877348587	0.310358328046277
86	0.43	-0.625943533377722	0.310358328046277
87	0.435	-0.628522877348587	0.310358328046277
88	0.44	-0.632391893304884	0.310358328046277
89	0.445	-0.634971237275749	0.310358328046277
90	0.45	-0.629812549334019	0.310358328046277
91	0.455	-0.629812549334019	0.309068656060845
92	0.46	-0.620784845435992	0.310358328046277
93	0.465	-0.614336485508829	0.309068656060845
94	0.47	-0.629812549334019	0.310358328046277
95	0.475	-0.632391893304884	0.310358328046277
96	0.48	-0.628522877348587	0.309068656060845
97	0.485	-0.628522877348587	0.310358328046277
98	0.49	-0.629812549334019	0.310358328046277
99	0.495	-0.629812549334019	0.310358328046277
100	0.5	-0.634971237275749	0.310358328046277
101	0.505	-0.623364189406857	0.310358328046277
102	0.51	-0.628522877348587	0.310358328046277
103	0.515	-0.629812549334019	0.310358328046277
104	0.52	-0.633681565290317	0.309068656060845
105	0.525	-0.631102221319452	0.310358328046277
106	0.53	-0.619495173450559	0.310358328046277
107	0.535	-0.632391893304884	0.310358328046277
108	0.54	-0.627233205363154	0.310358328046277
109	0.545	-0.629812549334019	0.310358328046277
110	0.55	-0.631102221319452	0.310358328046277
111	0.555	-0.632391893304884	0.310358328046277
112	0.56	-0.633681565290317	0.310358328046277
113	0.565	-0.629812549334019	0.309068656060845
114	0.57	-0.633681565290317	0.310358328046277
115	0.575	-0.631102221319452	0.310358328046277
116	0.58	-0.633681565290317	0.310358328046277
117	0.585	-0.641419597202912	0.310358328046277
118	0.59	-0.632391893304884	0.310358328046277
119	0.595	-0.624653861392289	0.309068656060845
120	0.6	-0.633681565290317	0.309068656060845
121	0.605	-0.625943533377722	0.310358328046277
122	0.61	-0.622074517421424	0.310358328046277
123	0.615	-0.629812549334019	0.310358328046277
124	0.62	-0.641419597202912	0.310358328046277
125	0.625	-0.622074517421424	0.310358328046277
126	0.63	-0.627233205363154	0.310358328046277
127	0.635	-0.641419597202912	0.310358328046277
128	0.64	-0.627233205363154	0.310358328046277
129	0.645	-0.633681565290317	0.310358328046277
130	0.65	-0.631102221319452	0.310358328046277
131	0.655	-0.632391893304884	0.309068656060845
132	0.66	-0.640129925217479	0.310358328046277
133	0.665	-0.629812549334019	0.310358328046277
134	0.67	-0.634971237275749	0.310358328046277
